german,english,hungarian,type,⍨,,
"r Nachweis,~e","proof, evidence; verification; certificate",igazolás; bizonyíték,noun,2015-02-05,,
"e Nasennebenhöhle,n",paranasal sinuses,arcüreg,noun,2015-03-04,,
"r Passant,~en",passerby; pedestrian,járókelő,noun,2015-03-30,,
"r Pflicht,~en","duty, obligation",kötelesség,noun,2015-03-04,,
"s Plätzchen,~",cookie; biscuit,süti,noun,2015-03-09,,
"s Proviant,~e",provision; supplies,túlélőcsomag,noun,2015-03-29,,
"r Räuber,~",robber; pirate,rabló; kalóz,noun,2015-03-30,,
"r Riegel,~",bolt; bar,retesz,noun,2015-03-22,,
"r Schelm,~e",prankster; rogue,"zsivány, gazember",noun,2014-10-20,,
"e/r Schiffbrüchige,~n",castaway; shipwrecked,hajótörött; kitaszított,noun,2015-03-29,,
"r Täter,~","perpetrator, culprit",tettes,noun,2015-02-01,,
"e Tätowierung,~en",tattoo,tetoválás,noun,2015-03-29,,
"e Trauma,Traumata/Traumen",trauma,trauma,noun,2015-04-18,,
"r Umsatz,⍨e","turnover, income, sales",bevétel,noun,2015-04-18,,
"e Unterlage,~n",document,"irat, okmány, dokumentum",noun,2015-03-30,,
"e Ursache,~n","cause, reason, root",ok,noun,2015-03-22,,
"r Verein,~e","society, association, club",egyesület,noun,2015-02-28,,
"r Verkehr,~e",traffic; transport; intercourse,forgalom; közlekedés; közösülés,noun,2015-03-04,,
"e Verpflichtung,~en",obligation,kötelesség,noun,2015-03-04,,
"r Vorsprung,⍨e","advance, advantage","előny (fizikai, pontokban, stb.)",noun,2015-03-04,,
"s Vorstellungsgespräch,~e",job interview,bemutatkozó megbeszélés/elbeszélgetés,noun,2014-10-20,,
"e Walze,~n",road roller,Úthenger,noun,2015-04-18,,
"r Wiederaufbau,~",reconstruction,újjáépítés,noun,2015-03-29,,
"e Wüste,~n",desert,sivatag,noun,2015-02-05,,
"r Zelt,~e",tent,sátor,noun,2015-02-01,,
"r Zeuge,~n",witness,tanú,noun,2015-02-01,,
h zögern,to hesitate,hezitálni,verb,2015-02-28,,
"r Zuschauer,~",spectators,néző; bámészkodó,noun,2015-03-29,,
"e Zwangsjacke,~n",straitjacket,muszájkabát,noun,2015-02-01,,
hervor,,"elő, előre",prep,2015-03-04,,
nach vorne,to the front,előre,prep,2015-02-06,,
trotz + (G/D),despite sth,vmi ellenére,prep,2015-02-05,,
"h abbrechen, abbrachen, abgebrochen, abbrichst, abbrichst",to break off; to terminate; to discard; to demolish,abbahagyni,verb,2015-03-15,,
h abonnieren + (A),to subscribe to sth,előfizetni vmire,verb,2015-02-07,,
"h abraten, abrieten, abgeraten, abrätst, abrät + von (D)",to advise against sth.,lebeszélni vmiről,verb,2015-03-22,,
h abrufen,to load,betölteni,verb,2015-03-29,,
h absagen,"to cancel, to decline",lemondani; elutasítani,verb,2015-02-05,,
"s ankommen, ankamen, angekommen",to arrive,megérkezni,verb,2015-04-03,,
h ätzen,"to etch, to cauterize",marni,verb,2015-02-15,,
h aufpassen,to mind (to be careful),"vigyázni, figyelni",verb,2015-04-11,,
h aufpassen + auf (A),"to watch out for sth, to look after sth; to look out for sth, to watch (keep under close observation)",vigyázni vmire/vkire,verb,2015-04-11,,
h aufschlagen,"to set up, to pitch up (a camp, a tent), to increase, to mark up (a price)","felverni (sarat, sátrat, árat)",verb,2015-02-01,,
"h ausgleichen, ausglichen, ausglichen","to compensate; to settle; to offset [financially, statistically","kiegyenlíteni (fiz.), kiegyensúlyozni",verb,2015-02-05,,
h auskippen,"to tip out, to empty out",kiönteni,verb,2015-02-07,,
h ausprobieren,to try out,kipróbálni,verb,2015-03-29,,
h austupfen,to sponge out,"kitunkolni, felitatni",verb,2015-02-07,,
"h bedenken, bedachten, bedachten + (A)",to consider sth; to mind sth; to deliberate sth,gondolni vmire,verb,2015-02-07,,
h befolgen,to obey sth,követni,verb,2015-02-05,,
"h begleichen, beglichen, beglichen",to settle; to meet; to balance,"kiegyenlíteni (átv.), megadni (tartozást)",verb,2015-02-05,,
h behaupten,"to claim, maintain, assert",állítani,verb,2015-03-29,,
"h beheben, behoben, behoben","to resolve, to fix (problem, defect)",kiküszöbölni,verb,2015-03-30,,
h/s beistehen,to assist,"támogatni (hivatalos, professzionális)",verb,2015-02-15,,
h beschimpfen,to berate; to insult; to abuse (verbally),veszekedni,verb,2015-02-07,,
"h besprechen, besprachen, begesprochen, besprichst, bespricht + (A)",to discuss sth,megbeszélni vmit,verb,2015-02-07,,
"h bestreiten, bestritten, bestritten",to deny,tagadni,verb,2015-03-13,,
"h betreffen, betrafen, betroffen, betriffst, betrifft","to concern, to affect",súlytani; érinteni,verb,2015-03-09,,
h bewältigen,"to handle, to cope with","legyőzni, leküzdeni, megoldani (akadályt, nehezen)",verb,2015-02-01,,
"h beweisen, bewiesen, bewiesen",to prove,bizonyítani,verb,2015-02-05,,
h bezweifeln,to doubt,kételkedni,verb,2015-02-07,,
h bezweifeln + (A),to doubt sth,kételkedni vmiben,verb,2015-02-07,,
s dazwischen kommen,to come up,közbejönni,verb,2015-03-15,,
dran sein,"to be next, to be up",következőnek lenni,exp,2015-02-05,,
h drohen,to threaten,fenyegetni,verb,2015-02-09,,
h eifern,to strive,igyekezni,verb,2015-02-15,,
h einholen,to overtake sb./sth.,utolérni vkit,verb,2015-03-04,,
h einsammeln + (A),to pick up sb,felvenni vkit (fiz.),verb,2015-02-07,,
h einschläfern,to lull,elaltatni (állatot),verb,2015-02-15,,
h einstellen,to hire; to adjust,felvenni vkit; feltölteni,verb,2015-02-09,,
"h erbitten, erbaten, erbeten","to request, to petition",kérelmezni,verb,2015-02-01,,
 erneut machen,to repeat,ismételni,verb,2015-04-18,,
"h erringen, errangen, errungen","to gain, to win",kiharcolni,verb,2014-10-20,,
h ersetzen,to replace,kicserélni,verb,2015-02-06,,
h erstellen,to issue,megalkotni; létrehozni; felállítani (prognózist),verb,2015-03-29,,
h ersticken,"to suffocate, to smother","fulladozni, megfulladni",verb,2015-03-29,,
h ertrinken,to drown,vízbe fulladni,verb,2015-03-29,,
h erwürgen,to strangle,megfojtani,verb,2015-03-30,,
h forschen + nach (D),to research,kutatni (vmi után),verb,2015-03-22,,
h forschen + über (A),to research,kutatni (vmilyen területen),verb,2015-03-22,,
h fortsetzen,to continue,folytatni,verb,2015-04-18,,
"h hängen, hingen, gehängt",to hang; to be suspended; to stick; to cling,tartani,verb,2015-04-18,,
h heilen,to heal,gyógyítani,verb,2015-03-29,,
"h herausfinden, herausfanden, herausgefunden",to find out,kideríteni; kitalálni,verb,2015-03-22,,
h hereinstellen,to upload,feltölteni (weboldalra pl.),verb,2015-02-09,,
h hinkriegen,to be able,képesnek lenni,verb,2015-04-18,,
h hinlegen + sich (A),to lie down,lefeküdni (pihenni),verb,2015-02-01,,
"h hinweisen, hinwiesen, hingewiesen",to indicate; to suggest,"rámutatni, utalni",verb,2015-02-07,,
"h hinweisen, hinwiesen, hingewiesen + auf (A)",to point out sth,felhívni vmire a figyelmet,verb,2015-02-07,,
h hoffen + auf (A),to hope for sth,"remélni, reménykedni vmiben",verb,2015-02-07,,
s dabei sein,to be in; to participate,benne lenni; részt venni,exp,2015-02-15,,
h verderben + sich (D) + den Magen,,hasat elrontani,idiom,2015-04-18,,
s impfen,to vaccinate; to inoculate,beoltani,verb,2015-02-28,,
s klettern,to climb,mászni,verb,2015-04-18,,
h lachen + über (A),to laugh,nevetni vmin,verb,2015-02-07,,
h lauschen,to eavesdrop,kihallgatni (vmit); hallgatózni,verb,2015-02-15,,
h legen + sich (A),to sort,elrendeződni,verb,2015-02-01,,
"h messen, maßen, gemessen, misst, misst",to measure,mérni,verb,2015-02-01,,
h nacheifern,"to emulate (sb.), to try to equal (sb.)","utánozni, majmolni",verb,2015-02-15,,
h nachweisen,to prove; to verify; to certify,bizonyítani; igazolni,verb,2015-02-05,,
h nummerieren,to number,számozni,verb,2015-04-18,,
h renovieren,to renovate,renoválni (csak felületet),verb,2015-03-22,,
h sanieren,to redevelop; to reconstruct,renoválni (alaposan),verb,2015-03-22,,
h schimpfen,to badmouth (coll.); to offend; to rant; to scold,veszekedni; szidni; ,verb,2015-02-07,,
h schimpfen + auf (A),to rail against sth,szidni vkit/vmit; leszidni (gyereket),verb,2015-02-07,,
h schimpfen + mit (D),to rant and rave at sb,veszekedni vkivel,verb,2015-02-07,,
h schützen,to protect; to shelter; to defend,védeni,verb,2015-04-18,,
h setzen + sich(A) + zur Ruhe,,nyugdíjba vonulni,verb,2015-02-10,,
spaß verderben,,elrontani a hangulatot,verb,2015-04-18,,
h sperren,to bar; to space out the letters,elzárni,verb,2015-03-04,,
h teilen,"to divide, to share",osztani,verb,2015-03-30,,
h trennen,"to separate, to sort",szétválasztani,verb,2015-03-22,,
h überprüfen,"to review, to check",ellenőrizni,verb,2015-02-01,,
h überweisen,to transfer,átutalni,verb,2015-03-30,,
s umkippen,to faint; to overturn,eldőlni; felborítani,verb,2015-02-07,,
h umsetzen,to implement; to transform; to translate; to convert; to transpose,bevételt csinálni,verb,2015-04-18,,
s unten sein,to be downstairs,lent lenni (fiz.),verb,2015-02-06,,
h unterschätzen,to underestimate,alábecsülni,verb,2015-03-30,,
s unterwegs sein,to be on the way; to be on the road,úton lenni; útban lenni (vhova),verb,2015-02-06,,
h urteilen,to judge,ítélni; ítélni,verb,2015-03-09,,
"h verderben, verdarben, verdorben",to deprive; to ruin; to spoil (food),elrontani,verb,2015-04-18,,
h verhaften,to arrest,letartóztatni,verb,2015-03-30,,
h verhandeln,to negotiate; to bargain,tárgyalni; alkudozni,verb,2015-02-09,,
h vermuten,to assume; to suppose; to presume; to suspect; to guess,feltételezni,verb,2015-02-15,,
h vernähen,to suture; to sew up,odavarrni,verb,2015-02-07,,
h verriegeln,to bolt; to latch; to lock; to bar,reteszelni; alaposan bezárni,verb,2015-03-22,,
h versauen,to mess up,elrontani (nagyon),verb,2015-03-13,,
h verstecken,to hide,elrejteni,verb,2015-03-29,,
"h verstoßen + gegen (A), verstießen, verstoßen, verstößt, verstößt",to break (law),megsérteni (törvényt),verb,2015-02-07,,
h verteilen,"to distribute, to spread, to spread out","elosztani, kiosztani; kiadni",verb,2015-02-01,,
h vertrauen,to trust,megbízni,verb,2015-02-15,,
h vertrauen + auf (A),to trust sb,megbízni vmiben/vkiben,verb,2015-03-22,,
h verurteilen,to condemn,elítélni,verb,2015-03-09,,
h verwirklichen,"to substantiate, realize; to materialize; to achieve, to fulfil",megvalósítani,verb,2015-03-29,,
h verwüsten,to devastate; to ruin,elpusztítani,verb,2015-02-05,,
h verzichten + auf (A),to do without,lemondani valamiről,verb,2015-02-09,,
s verzweifeln,to panic,kétségbeesni,verb,2015-02-07,,
s verzweifeln + über (A),to despair of sth,kétségbeesni vmitől,verb,2015-02-07,,
h warten,to wait,várakozni,verb,2015-02-07,,
h warten + auf (A),to wait for sth; to await sb/sth,várni vmit,verb,2015-02-07,,
h wüsten,to waste,pusztít,verb,2015-02-05,,
"h zufrieren, zufroren, zugefroren",,befagyni,verb,2015-03-29,,
h zulächeln + D,to smile at sb.,rámosolyogni vkire,verb,2015-03-04,,
"h zurückdenken, zurückdachten, zurückdachten",to think back,visszagondolni,verb,2015-02-07,,
"h zurückdenken, zurückdachten, zurückdachten + auf (A)",to reminisce about sth,visszagondolni vmire,verb,2015-02-07,,
h zuschauen,,"nézni, megnézni",verb,2015-03-29,,
h zustimmen,to agree,egyetérteni; elfogadni (szavazásnál),verb,2015-02-15,,
h zweifeln,to doubt,kételkedni,verb,2015-02-07,,
h zweifeln + an (D),to doubt sth,kételkedni + vmiben,verb,2015-02-07,,
bald,"soon, near in time",hamarosan,adv,2015-03-04,,
bevor,before,mielőtt,conj,2015-02-28,,
daher,therefore,emiatt,adv,2015-03-09,,
daraufhin,"thereupon, consequently, subsequently",ezután; errefel,adv,2015-02-28,,
ehe,before,mielőtt,conj,2015-02-28,,
es hat sich so ergeben,it just came about like that,így alakult; ez adta magát,exp,2015-02-13,,
Es läuft ein Wettbewerb,There's a competition.,,exp,2015-02-12,,
hindern + an + (D),to impede; to prevent,akadályozni vmiben,verb,2015-02-28,,
Ich hindere dich daran zu Rauchen,,megakadályozlak a dohányzásban,exp,2015-02-28,,
Ich verhindere dass du rauchst,,"megakadályozom, hogy dohányozz",exp,2015-02-28,,
Ich werde mir das anschauen.,I will look at that; I will watch that,majd megnézem; majd ránézek,exp,2015-02-13,,
h kosten,to taste; to cost,kerülni vmibe; kóstolni,verb,2015-02-12,,
nimmer,"never, no longer","soha (elavult, déli, osztrák)",adv,2015-04-13,,
sinngemäß,corresponding,értelemszerint,adj,2015-02-28,,
überaus,extremely,extrém mód,adj,2015-03-13,,
h verlaufen + sich (A),to get lost,elveszni,verb,2015-02-13,,
h verlegen,,áthelyezni,verb,2015-03-13,,
h verschlucken + sich(A),,félrenyelni,verb,2015-02-28,,
vorausgesetzt,"provided, assumed",feltéve hogy,adj,2015-03-15,,
Was bildet er sich ein.,Who does he think he is?,mit képzel magáról,exp,2015-02-13,,
"r Zettel,~",,cédula,noun,2015-02-28,,
zunächst,"initially; first of all, in the first place",eleinte,adv,2015-03-13,,
"e Spur,~en",trace,nyom,noun,2015-04-19,,
h vorausgesetzen,to assume; to require (as precondition),feltételezni,verb,2015-04-19,,
